id,version,station_name,gu,dong,latitude,longitude
1,타슈1,무역전시관입구(택시승강장),유성구,도룡동,36.374380,127.387331
2,타슈1,대전컨벤션센터,유성구,도룡동,36.374389,127.392375
3,타슈1,한밭수목원1,서구,만년동,36.368995,127.388451
4,타슈1,초원아파트(104동 버스정류장),서구,만년동,36.367945,127.379302
5,타슈1,둔산대공원 입구(버스정류장),서구,둔산2동,36.364974,127.388856
6,타슈1,백합네거리(농협),서구,월평2동,36.362315,127.376427
7,타슈1,정부청사 입구(대덕대로),서구,둔산2동,36.361681,127.379890
8,타슈1,정부청사 입구(샘머리),서구,둔산2동,36.361949,127.390433
9,타슈1,(운영중지)황실아파트(성룡초등학교),서구,월평2동,36.361655,127.374179
10,타슈1,만년동 KBS 부근(기업은행),서구,만년동,36.368632,127.379747
11,타슈1,누리아파트(후문 버스정류장),서구,월평3동,36.358899,127.374157
12,타슈1,정부청사역 4번출구,서구,둔산2동,36.357932,127.381550
13,타슈1,삼천중학교(정문 맞은편),서구,둔산2동,36.358800,127.395412
14,타슈1,둔산 하이마트,서구,둔산2동,36.355534,127.379146
15,타슈1,둔산 홈플러스(법원 버스정류장),서구,둔산1동,36.355418,127.390085
16,타슈1,국화아파트(501동),서구,둔산3동,36.353836,127.395240
17,타슈1,타임월드,서구,둔산2동,36.352078,127.378760
18,타슈1,대전시청,서구,둔산1동,36.351105,127.384575
19,타슈1,현대아이텔(시청역 6번출구),서구,둔산1동,36.351370,127.388097
20,타슈1,크로바아파트(정문 맞은편),서구,둔산1동,36.351177,127.391863
21,타슈1,카이스트 학사식당,유성구,어은동,36.373569,127.359803
22,타슈1,카이스트 창의학습관,유성구,구성동,36.370226,127.362150
23,타슈1,카이스트 정문,유성구,구성동,36.366170,127.363896
24,타슈1,화폐박물관,유성구,가정동,36.376804,127.371004
25,타슈1,카이스트 후문,유성구,구성동,36.374511,127.366894
26,타슈1,엑스포과학공원 주차장,유성구,가정동,36.376930,127.378750
27,타슈1,엑스포과학공원,유성구,도룡동,36.377146,127.379383
28,타슈1,스마트시티(201동),유성구,도룡동,36.377927,127.390637
29,타슈1,만년동 행정복지센터,서구,만년동,36.367511,127.375161
30,타슈1,선사유적지공용주차장,서구,월평2동,36.361967,127.379233
31,타슈1,유성구청,유성구,어은동,36.361773,127.357485
32,타슈1,홈플러스(유성점),유성구,봉명동,36.359293,127.354503
33,타슈1,월평역 2번출구(육교밑),서구,월평동,36.358494,127.361197
34,타슈1,진달래아파트(107동),서구,월평동,36.358209,127.366138
35,타슈1,갈마역 2번출구,서구,둔산동,36.357580,127.372055
36,타슈1,가람아파트(3동),서구,둔산동,36.357513,127.396525
37,타슈1,수정타운아파트(13동),서구,둔산동,36.357915,127.397638
38,타슈1,갑천역 1번출구,서구,월평동,36.354558,127.354790
39,타슈1,패션월드,서구,월평1동,36.351205,127.351928
40,타슈1,월평타운,서구,월평동,36.352793,127.356048
41,타슈1,대전일보,서구,월평동,36.353433,127.360647
42,타슈1,갈마네거리,서구,갈마동,36.353422,127.367895
43,타슈1,둔산여고,서구,둔산동,36.353331,127.374415
44,타슈1,을지대학병원,서구,둔산동,36.354653,127.382811
45,타슈1,청솔아파트(9동),서구,둔산동,36.351370,127.398314
46,타슈1,경성큰마을,서구,갈마동,36.347563,127.377248
47,타슈1,오페라웨딩홀,서구,둔산동,36.348453,127.382779
48,타슈1,대전종합고용지원센터(탄방역 4번출구),서구,탄방동,36.346504,127.385134
49,타슈1,한국농어촌공사,서구,탄방동,36.347204,127.390034
50,타슈1,한가람아파트,서구,탄방동,36.346803,127.393432
51,타슈1,남선공원종합체육관,서구,탄방동,36.348695,127.398681
52,타슈1,유승기업사,서구,탄방동,36.343476,127.381142
53,타슈1,탄방지하차도,서구,탄방동,36.343353,127.383560
54,타슈1,궁동네거리,유성구,장대동,36.365025,127.338651
55,타슈1,충대정문오거리1(정문),유성구,궁동,36.362446,127.344131
56,타슈1,충대정문오거리2(건너편),유성구,궁동,36.361736,127.344994
57,타슈1,한진오피스텔,유성구,봉명동,36.357928,127.342792
58,타슈1,구암역 3번출구,유성구,구암동,36.356429,127.331122
59,타슈1,유성온천역 6번출구,유성구,봉명동,36.354262,127.341502
60,타슈1,유성온천역 3번출구,유성구,봉명동,36.353299,127.341132
61,타슈1,만년교(코젤병원),유성구,봉명동,36.352130,127.346011
62,타슈1,도안휴먼시아1단지,유성구,봉명동,36.350259,127.340585
63,타슈1,상대초등학교,유성구,상대동,36.348384,127.335775
64,타슈1,유성생명과학고등학교,유성구,상대동,36.348280,127.330728
65,타슈1,도안 센트롤시티,유성구,봉명동,36.348769,127.344396
66,타슈1,도안 휴먼시아6단지,유성구,상대동,36.345705,127.340362
67,타슈1,도안 한라비발디,유성구,상대동,36.344908,127.335572
68,타슈1,도안 신안인스빌리베라,유성구,원신흥동,36.341868,127.344879
69,타슈1,도안 트리풀시티9단지(504동 맞은편),유성구,상대동,36.342793,127.337476
70,타슈1,도안 휴먼시아10단지,유성구,원신흥동,36.338048,127.338356
71,타슈1,대전지방국세청,대덕구,법동,36.371474,127.428588
72,타슈1,대덕경찰서(법동),대덕구,법동,36.370172,127.429358
73,타슈1,대전중앙병원,대덕구,법동,36.367406,127.429736
74,타슈1,중리시장,대덕구,중리동,36.366678,127.426067
75,타슈1,보람아파트,대덕구,법동,36.366524,127.430356
76,타슈1,선비마을입구,대덕구,송촌동,36.367665,127.436364
77,타슈1,선비마을3단지,대덕구,송촌동,36.368360,127.440312
78,타슈1,중리동(하나로병원),대덕구,중리동,36.363177,127.431284
79,타슈1,수도시설관리사업소,대덕구,중리동,36.362097,127.435540
80,타슈1,송촌소방서,대덕구,송촌동,36.362853,127.438697
81,타슈1,동춘당공원,대덕구,송촌동,36.364663,127.440966
82,타슈1,선비마을5단지,대덕구,송촌동,36.366036,127.444872
83,타슈1,유평초등학교,중구,태평동,36.330654,127.398255
84,타슈1,강남한의원,중구,태평2동,36.326242,127.392813
85,타슈1,태평1동 행정복지센터,중구,태평동,36.326129,127.396967
86,타슈1,삼부프라자,중구,태평2동,36.323268,127.393631
87,타슈1,쌍용예가아파트,중구,유천동,36.322555,127.397450
88,타슈1,태평초등학교,중구,유천동,36.321427,127.394006
89,타슈1,버드내초등학교,중구,태평동,36.319780,127.392413
90,타슈1,유등교,중구,유천동,36.316016,127.387403
91,타슈1,버드내네거리,중구,유천동,36.316915,127.392467
92,타슈1,서대전농협,중구,유천동,36.317900,127.394698
93,타슈1,서대전육교,중구,유천동,36.318940,127.400393
94,타슈1,미리내아파트,동구,판암동,36.316962,127.454608
95,타슈1,판암역 2번출구,동구,판암동,36.316705,127.458342
96,타슈1,판암역 4번출구,동구,판암동,36.317217,127.459050
97,타슈1,가오고등학교,동구,가오동,36.310388,127.455611
98,타슈1,은어송마을입구,동구,가오동,36.305423,127.454544
99,타슈1,홈플러스 가오점(건너편),동구,가오동,36.306694,127.456829
100,타슈1,홈플러스 가오점,동구,가오동,36.306988,127.457129
101,타슈1,은어송마을4단지,동구,가오동,36.310061,127.461458
102,타슈1,은어송마을2단지,동구,대성동,36.303717,127.457698
103,타슈1,대전남부여성가족원,동구,가오동,36.302116,127.459836
104,타슈1,국립중앙과학관,유성구,가정동,36.375206,127.378122
105,타슈1,카이스트 서쪽 쪽문,유성구,구성동,36.364177,127.358845
106,타슈1,카이스트 다솜관,유성구,구성동,36.367989,127.356852
107,타슈1,카이스트 세종관,유성구,구성동,36.370768,127.366645
108,타슈1,목원대학교 입구,유성구,용계동,36.331955,127.337932
109,타슈1,서부농협본점,서구,탄방동,36.342378,127.387671
110,타슈1,용문네거리(용문역 3번출구),서구,용문동,36.337669,127.392191
111,타슈1,(공사중) 순복음교회(수침교),서구,용문동,36.335726,127.396603
112,타슈1,나르메아파트 길건너,서구,가장동,36.331931,127.385353
113,타슈1,가장교(성은사),서구,가장동,36.328502,127.388001
114,타슈1,태평동성당,중구,태평동,36.329742,127.396777
115,타슈1,한전 대전세종충남지역본부(건너편),동구,용전동,36.357491,127.434317
116,타슈1,홈플러스(동대전점),동구,용전동,36.355236,127.436793
117,타슈1,동부네거리,동구,용전동,36.350657,127.440408
118,타슈1,복합터미널,동구,용전동,36.348576,127.435076
119,타슈1,용전동 천주교회,동구,용전동,36.349520,127.432759
120,타슈1,한국통신 용전지점,동구,용전동,36.353089,127.432190
121,타슈1,용전네거리(하나은행),동구,용전동,36.347143,127.431512
122,타슈1,한남대후문 입구,대덕구,중리동,36.358613,127.422690
123,타슈1,구)대덕경찰서(문평동),대덕구,문평동,36.446304,127.406676
124,타슈1,목상동 행정복지센터,대덕구,목상동,36.449254,127.412893
125,타슈1,엑슬루타워,대덕구,석봉동,36.449253,127.420131
126,타슈1,신탄진동 행정복지센터,대덕구,신탄진동,36.451985,127.428870
127,타슈1,신탄진역,대덕구,신탄진동,36.448623,127.429218
128,타슈1,과선교버스정류장,대덕구,평촌동,36.443026,127.429476
129,타슈1,신탄진고네거리,대덕구,신탄진동,36.448584,127.435822
130,타슈1,용정초등학교,대덕구,신탄진동,36.454126,127.436877
131,타슈1,에코공원,대덕구,신탄진동,36.448772,127.444365
132,타슈1,삼정삼거리,대덕구,삼정동,36.449611,127.456706
133,타슈1,오룡역 7번출구,중구,용두동,36.328727,127.405846
134,타슈1,중도일보,중구,오류동,36.326058,127.407828
135,타슈1,서대전역네거리,중구,오류동,36.320688,127.405947
136,타슈1,중구청역 1번출구(중구청의회),중구,대흥동,36.325652,127.420844
137,타슈1,센트럴파크(302동),중구,문화동,36.318380,127.411655
138,타슈1,센트럴파크(105동),중구,문화동,36.316476,127.407345
139,타슈1,서대전네거리역 3번출구,중구,오류동,36.322248,127.411462
140,타슈1,대전시민대학 정문,중구,선화동,36.328146,127.420741
141,타슈1,대전세무서,중구,선화동,36.330667,127.419393
142,타슈1,선화참좋은아파트(유안타증권),중구,선화동,36.331535,127.422493
143,타슈1,중앙로역 3번출구,중구,대흥동,36.327826,127.426281
144,타슈1,타슈 관제센터,유성구,원촌동,36.388966,127.409699
145,타슈1,도안 호반베르디움(201동),유성구,봉명동,36.349006,127.347529
146,타슈1,도안 호반베르디움(101동),서구,가수원동,36.311886,127.346868
147,타슈1,도안 계룡리슈빌(1704동),서구,도안동,36.316395,127.345216
148,타슈1,도안 금성백조(701동),유성구,봉명동,36.348233,127.344519
149,타슈1,도안 트리풀시티5단지(509동),유성구,상대동,36.345701,127.338892
150,타슈1,도안 우미린(1806동),서구,가수원동,36.312414,127.349936
151,타슈1,우송대 정문(건너편),동구,자양동,36.337017,127.447794
152,타슈1,대전역(대한통운 맞은편),동구,정동,36.332220,127.432054
153,타슈1,대동역 4번출구,동구,대동,36.329613,127.442446
154,타슈1,한남오거리,대덕구,오정동,36.347978,127.416389
155,타슈1,오정동 운암빌딩,대덕구,오정동,36.358455,127.411245
156,타슈1,중촌네거리(목동우체국 방면),중구,중촌동,36.335960,127.414904
157,타슈1,중촌초등학교(건너편),중구,중촌동,36.340677,127.410626
158,타슈1,전자통신연구원,유성구,가정동,36.384168,127.366654 
159,타슈1,연구단지네거리,유성구,도룡동,36.385478,127.376813
160,타슈1,연구단지운동장(건너편),유성구,신성동,36.385521,127.353928
161,타슈1,연구단지 KT_G(건너편),유성구,신성동,36.384695,127.348674
162,타슈1,송강체육관,유성구,송강동,36.431581,127.387340
163,타슈1,송강초등학교,유성구,송강동,36.433066,127.384100
164,타슈1,롯데마트(관평점),유성구,관평동,36.427714,127.387394
165,타슈1,배울네거리,유성구,관평동,36.421997,127.387590
166,타슈1,인동네거리,동구,인동,36.321929,127.437948
167,타슈1,원동네거리,동구,원동,36.326922,127.434912
168,타슈1,성남네거리,동구,성남동,36.341011,127.435647
169,타슈1,삼성네거리,동구,삼성동,36.336377,127.430264
170,타슈1,대전고오거리,중구,대흥동,36.322841,127.424127
171,타슈1,대흥네거리,중구,대흥동,36.323695,127.428648
172,타슈1,부사네거리,중구,부사동,36.313281,127.434005
173,타슈1,무지개아파트,서구,월평동,36.357935,127.377080
174,타슈1,가수원네거리(전통시장 입구),서구,가수원동,36.304949,127.352992
175,타슈1,건양대네거리,서구,관저동,36.302355,127.339827
176,타슈1,관저2동 행정복지센터,서구,관저동,36.299304,127.334978
177,타슈1,관저1동 행정복지센터,서구,관저동,36.303811,127.337174
178,타슈1,노은역 3번출구,유성구,지족동,36.374368,127.317980
179,타슈1,반석역 1번출구,유성구,반석동,36.391242,127.314932
180,타슈1,전민동 행정복지센터(건너편),유성구,전민동,36.399535,127.401538
181,타슈1,엑스포아파트4단지(건너편),유성구,전민동,36.396557,127.404773
182,타슈1,한밭대 입구,유성구,덕명동,36.349941,127.297135
183,타슈1,현충원역 3번출구,유성구,구암동,36.359526,127.320935
184,타슈1,오정우체국(건너편),대덕구,오정동,36.352567,127.415543
185,타슈1,비래동 산림조합,대덕구,비래동,36.355131,127.446021
186,타슈1,한밭수목원2,서구,만년동,36.369084,127.388451
187,타슈1,양우건설 내안애,유성구,원신흥동,36.344262,127.347305
188,타슈1,구봉초등학교(건너편),서구,관저동,36.298766,127.329552
189,타슈1,샘물타운아파트(301동),유성구,원내동,36.299757,127.320351
190,타슈1,교촌제이파크(101동),유성구,교촌동,36.303758,127.318463
191,타슈1,신흥마을아파트(102동),동구,신흥동,36.321234,127.444964
192,타슈1,보문산오거리,중구,대사동,36.317631,127.425722
193,타슈1,석교동 행정복지센터,중구,석교동,36.309688,127.441991
194,타슈1,호동우체국(건너편),중구,호동,36.304773,127.449311
195,타슈1,한밭도서관,중구,문화동,36.310180,127.408276
196,타슈1,대덕문화원,대덕구,읍내동,36.374101,127.420302
197,타슈1,농도원네거리,서구,도마동,36.320184,127.377671
198,타슈1,도마네거리,서구,도마동,36.313804,127.379636
199,타슈1,노은1동 행정복지센터,유성구,노은동,36.368231,127.318006
200,타슈1,지족역 2번출구(건너편),유성구,지족동,36.383723,127.320175
201,타슈1,노은3동 행정복지센터,유성구,지족동,36.386848,127.308372
202,타슈1,도안초등학교,서구,도안동,36.320531,127.344013
203,타슈1,죽동 금성백조,유성구,죽동,36.368808,127.336889
204,타슈1,낭월 오투그란데(108동 맞은편),동구,낭월동,36.285012,127.465722
205,타슈1,대성삼거리,동구,대성동,36.294851,127.460853
206,타슈1,대전대 후문,동구,용운동,36.335207,127.456495
207,타슈1,가양초등학교,동구,가양동,36.343527,127.442254
208,타슈1,회덕농협(건너편),대덕구,읍내동,36.378989,127.426780
209,타슈1,동부여성가족원,대덕구,법동,36.374369,127.428083
210,타슈1,읍내동우편취급국,대덕구,읍내,36.378450,127.421320
211,타슈1,석봉문화센터,대덕구,석봉동,36.447408,127.426423
212,타슈1,대덕구보건소네거리(자연애마트),대덕구,덕암동,36.443816,127.425462
213,타슈1,송림네거리,유성구,하기동,36.387805,127.321661
214,타슈1,외삼네거리(603동),유성구,반석동,36.395302,127.309877
215,타슈1,지족초등학교,유성구,지족동,36.379658,127.317772
216,타슈1,건양대학교병원,서구,관저동,36.306014,127.340860
217,타슈1,초록마을아파트3단지,서구,복수동,36.300538,127.378890
218,타슈1,충대병원입구(건너편),중구,대사동,36.318190,127.416970
219,타슈1,문화초등학교네거리,중구,유천동,36.313090,127.399430
220,타슈1,머티네거리,중구,산성동,36.309576,127.388099
221,타슈1,갈마중학교(서부장로교회),서구,갈마동,36.349120,127.368355
222,타슈1,갈마아파트 한마음동산,서구,갈마동,36.344257,127.368008
223,타슈1,가양비래공원네거리,대덕구,비래동,36.353415,127.454012
224,타슈1,정림삼거리,서구,정림동,36.307341,127.364028
225,타슈1,대전보건대,동구,가양동,36.348927,127.451465
226,타슈1,대정동 모다아울렛,유성구,대정동,36.312700,127.319812
227,타슈1,죽동 대원칸타빌,유성구,죽동,36.369209,127.333916
228,타슈1,노은3지구 트리풀시티포레(105동),유성구,지족동,36.380921,127.305728
229,타슈1,송림마을5단지(502동),유성구,하기동,36.391066,127.329563
230,타슈1,노은3지구 꿈에그린(201동),유성구,지족동,36.388147,127.303323
231,타슈1,덕명동 하우스토리(101동),유성구,덕명동,36.358066,127.303964
232,타슈1,온천2동 행정복지센터,유성구,장대동,36.364870,127.333479
233,타슈1,대덕산업단지 BRT정류장,대덕구,문평동,36.438114,127.395328
234,타슈1,와동 현대아파트(대덕의원),대덕구,와동,36.400507,127.422846
235,타슈1,비래동 금성백조(102동),대덕구,비래동,36.358135,127.450793
236,타슈1,가양2동 행정복지센터(건너편 한산아파트),동구,가양동,36.349003,127.447924
237,타슈1,변동네거리(복음천하교회),서구,변동,36.324438,127.378530
238,타슈1,내동네거리(컨벤션웨딩홀),서구,변동,36.330836,127.377080
239,타슈1,느리울중네거리,서구,관저동,36.296364,127.340776
240,타슈1,서부경찰서,서구,복수동,36.308404,127.373714
241,타슈1,사정동 웰빙24시 사우나,중구,사정동,36.296434,127.384699
242,타슈1,서대전역,중구,오류동,36.322254,127.404760
243,타슈1,솔브릿지 국제대학,동구,삼성동,36.339173,127.433100
244,타슈1,우송대 서문(건너편),동구,가양동,36.339000,127.445151
245,타슈1,천동초등학교,동구,천동,36.316658,127.443987
246,타슈1,용방마을아파트(301동),동구,용운동,36.327231,127.451887
247,타슈1,목동 한사랑아파트(109동),중구,목동,36.333170,127.412043
248,타슈1,옥계동 새마을금고,중구,옥계동,36.298972,127.454283
249,타슈1,관저 금성백조(114동),서구,관저동,36.295683,127.334585
250,타슈1,노은3지구 영무예다음(102동),유성구,지족동,36.374552,127.305430
251,타슈1,관저 더샵(109동),서구,관저동,36.293458,127.328742
252,타슈1,대전정부청사 남문,서구,둔산동,36.359667,127.385135
253,타슈1,가수원파출소(건너편),서구,가수원동,36.308682,127.351457
254,타슈1,대전과학기술대학교 정문,서구,복수동,36.304556,127.374818
255,타슈1,용운국제수영장,동구,용운동,36.324729,127.465291
256,타슈1,신성동 수천이들 근린공원,유성구,신성동,36.393679,127.352750
257,타슈1,대전테크노파크,유성구,용산동,36.420851,127.405341
258,타슈1,천문대입구,유성구,신성동,36.382848,127.355004
259,타슈1,대덕대학교,유성구,장동,36.390462,127.362420
260,타슈1,오정농수산물 도매시장,대덕구,오정동,36.357693,127.407763
261,타슈1,도로교통공단(건너편 라도무스),유성구,원신흥동,36.332692,127.333128
262,타슈1,반석 더샵,유성구,반석동,36.390096,127.305095
301,타슈2(시범),충대 학생생활관,유성구,궁동,36.372306,127.346404
302,타슈2(시범),충대 중앙도서관,유성구,궁동,36.369513,127.346736
303,타슈2(시범),충대 학생회관,유성구,궁동,36.366431,127.345595
304,타슈2(시범),충대 서문네거리,유성구,죽동,36.370410,127.339933
305,타슈2(시범),궁동네거리1(학사마을),유성구,장대동,36.364937,127.338671
306,타슈2(시범),궁동네거리2(하이마트),유성구,장대동,36.363979,127.338297
307,타슈2(시범),충대정문 오거리1(정문),유성구,궁동,36.362447,127.344123
308,타슈2(시범),궁동버스정류장(유성구청방향),유성구,온천2동,36.360527,127.349743
309,타슈2(시범),유성구청,유성구,어은동,36.361596,127.357057
310,타슈2(시범),스카이뷰로드 오피스텔(봉명동),유성구,봉명동,36.357716,127.342709
311,타슈2(시범),매드블럭(봉명동),유성구,봉명동,36.358697,127.343532
312,타슈2(시범),홈플러스(유성점),유성구,봉명동,36.359389,127.354160
313,타슈2(시범),유성온천역 7번출구,유성구,온천1동,36.353892,127.341890
314,타슈2(시범),만년동 행정복지센터,서구,만년동,36.367645,127.375195
315,타슈2(시범),초원아파트(107동 버스정류장),서구,만년동,36.367622,127.379386
316,타슈2(시범),한밭수목원(서원),서구,만년동,36.369195,127.387595
317,타슈2(시범),한밭수목원(동원),서구,만년동,36.369245,127.388462
318,타슈2(시범),둔산대공원 입구(버스정류장),서구,둔산2동,36.365018,127.389358
319,타슈2(시범),누리아파트(후문 버스정류장),서구,월평3동,36.359288,127.374225
320,타슈2(시범),백합아파트(성룡초교),서구,월평2동,36.361736,127.374386
321,타슈2(시범),정부청사 입구(대덕대로),서구,둔산2동,36.361912,127.379653
322,타슈2(시범),정부청사역 4번출구,서구,둔산2동,36.357979,127.382026
323,타슈2(시범),정부청사 입구(남문),서구,둔산동,36.359685,127.385324
324,타슈2(시범),정부청사 입구(샘머리),서구,둔산2동,36.361215,127.390075
325,타슈2(시범),수정타운아파트(13동),서구,둔산동,36.357862,127.397895
326,타슈2(시범),갑천역 1번출구,서구,월평동,36.354442,127.354602
327,타슈2(시범),월평역 2번출구,서구,월평동,36.358516,127.361015
328,타슈2(시범),진달래아파트(107동),서구,월평1동,36.358217,127.366151
329,타슈2(시범),갈마역 2번출구,서구,둔산동,36.357528,127.371964
330,타슈2(시범),둔산 하이마트,서구,둔산2동,36.355565,127.379185
331,타슈2(시범),을지대학병원,서구,둔산2동,36.354395,127.382755
332,타슈2(시범),둔산 홈플러스(법원 버스정류장),서구,둔산1동,36.355305,127.390019
333,타슈2(시범),국화아파트(501동),서구,둔산3동,36.354435,127.395405
334,타슈2(시범),둔산여고,서구,둔산동,36.352995,127.374385
335,타슈2(시범),타임월드,서구,둔산2동,36.352636,127.379105
336,타슈2(시범),대전시청,서구,둔산1동,36.351105,127.384735
337,타슈2(시범),현대아이텔(시청역 6번출구),서구,둔산1동,36.351370,127.387935
338,타슈2(시범),크로바아파트(정문 맞은편),서구,둔산1동,36.351177,127.391784
339,타슈2(시범),청솔아파트(9동),서구,둔산동,36.351335,127.398595
340,타슈2(시범),오페라웨딩홀,서구,둔산동,36.348715,127.382775
341,타슈2(시범),대전종합고용지원센터(탄방역 4번출구),서구,탄방동,36.346626,127.385388
342,타슈2(시범),한가람아파트,서구,탄방동,36.346785,127.393515